"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significant","direction"
"Rv0005",11852.2927942183,1.2065256531896,0.0219842754473257,54.8813016867638,0,0,"Signifikan","Naik"
"Rv0006",15344.6944279077,1.53757477033643,0.021384943270513,71.8998760429981,0,0,"Signifikan","Naik"
"Rv0007",5326.35060722501,1.60525574209524,0.0331556595598097,48.4157384714218,0,0,"Signifikan","Naik"
"Rv0009",3720.56417349173,1.66875458112289,0.0418013419537184,39.9210767675951,0,0,"Signifikan","Naik"
"Rv0015c",6398.27446940981,1.43301805864885,0.0296340086085624,48.3572127408642,0,0,"Signifikan","Naik"
"Rv0020c",15836.1950876175,1.81084483077919,0.0214572983805177,84.3929556585444,0,0,"Signifikan","Naik"
"Rv0032",3892.76139559231,-2.23426234463483,0.0380116661161704,-58.7783323626627,0,0,"Signifikan","Turun"
"Rv0038",4995.95470825945,1.33429494518497,0.032983066702259,40.4539382959678,0,0,"Signifikan","Naik"
"Rv0039c",5947.72789677633,3.13441941146486,0.0379650129108927,82.5607360867129,0,0,"Signifikan","Naik"
"Rv0040c",5922.14724057805,1.74829361024677,0.0359290290338693,48.65963977481,0,0,"Signifikan","Naik"
"Rv0046c",17104.0626348221,2.67155627064043,0.0219584732886548,121.664026251804,0,0,"Signifikan","Naik"
"Rv0049",4494.80197054218,1.73235187382283,0.0365657461044791,47.3763578862303,0,0,"Signifikan","Naik"
"Rv0054",3297.08421697192,1.77032972495555,0.0441526114402481,40.0956968842341,0,0,"Signifikan","Naik"
"Rv0064",9707.67828646824,-0.999673867859096,0.022800982568405,-43.8434556431937,0,0,"Tidak Signifikan","Tidak Signifikan"
"Rv0068",1256.13523153596,-3.04364177767041,0.0728429772517669,-41.7835993599037,0,0,"Signifikan","Turun"
"Rv0070c",1736.27994943127,-2.32726813506905,0.0572098930385337,-40.6794701311803,0,0,"Signifikan","Turun"
"Rv0074",5550.38204529205,1.32051391305391,0.0310916122148626,42.4717092162454,0,0,"Signifikan","Naik"
"Rv0079",65956.7002479303,5.79912323737521,0.0227434998709896,254.979368622693,0,0,"Signifikan","Naik"
"Rv0080",11722.4176060605,4.38136909961862,0.0460383496651389,95.167814039526,0,0,"Signifikan","Naik"
"Rv0087",2000.0593013345,-2.2420995230141,0.0527569969371313,-42.4986192008984,0,0,"Signifikan","Turun"
"Rv0096",1778.63934398831,-4.6968458961013,0.0834119886340565,-56.3090027346934,0,0,"Signifikan","Turun"
"Rv0097",1129.74931945861,-3.69357808631108,0.0851427727932287,-43.3809936549874,0,0,"Signifikan","Turun"
"Rv0099",2307.00994897442,-2.89130299792251,0.0543023042606235,-53.2445729014689,0,0,"Signifikan","Turun"
"Rv0101",12088.7611478777,-1.88237452930041,0.0247656263342459,-76.0075478768514,0,0,"Signifikan","Turun"
"Rv0108c",3081.4928613512,2.31325944141222,0.0468950908232792,49.3283923924911,0,0,"Signifikan","Naik"
"Rv0112",2215.04487558852,-2.03321667220396,0.0495281694039784,-41.0517226191009,0,0,"Signifikan","Turun"
"Rv0115",1867.39910907097,-2.37067897172682,0.055372870292042,-42.8130049828305,0,0,"Signifikan","Turun"
"Rv0118c",3024.2606100586,-1.70437267809086,0.0434590433232321,-39.2179060504019,0,0,"Signifikan","Turun"
"Rv0125",7615.67302499148,1.65597876262703,0.028928161029205,57.2445224207376,0,0,"Signifikan","Naik"
"Rv0129c",7744.44967347297,1.84590835540026,0.0286517677338136,64.4256358822077,0,0,"Signifikan","Naik"
"Rv0134",7375.90935324741,1.81940420157293,0.0285457298484687,63.7364751656726,0,0,"Signifikan","Naik"
"Rv0145",11460.6131441043,2.91540341878609,0.0272388773310996,107.030968396685,0,0,"Signifikan","Naik"
"Rv0146",6029.32380950901,1.98937253486399,0.0320915450442605,61.9905502249972,0,0,"Signifikan","Naik"
"Rv0147",7136.60848075518,1.13230699420182,0.027373365015234,41.3652831345968,0,0,"Signifikan","Naik"
"Rv0148",4398.74348497787,1.5434155584834,0.0370521961314872,41.6551708030012,0,0,"Signifikan","Naik"
"Rv0151c",3082.94928464936,-2.16207242286855,0.0431066647758292,-50.1563374042536,0,0,"Signifikan","Turun"
"Rv0157",6367.24500104925,1.54386193140592,0.0305593539410887,50.5201102870866,0,0,"Signifikan","Naik"
"Rv0160c",2562.38172261431,-3.5557971523954,0.0554971772690371,-64.0716758468228,0,0,"Signifikan","Turun"
"Rv0166",9201.57822203658,1.68423331062206,0.0289562225159241,58.1648144779879,0,0,"Signifikan","Naik"
"Rv0167",5308.88561994172,2.19739039317274,0.0371708594277594,59.115942622831,0,0,"Signifikan","Naik"
"Rv0168",4500.74715133784,1.82695842113988,0.0361131535973284,50.5898333197639,0,0,"Signifikan","Naik"
"Rv0169",7164.69190383393,1.73532464638568,0.0294688952980883,58.8866541766244,0,0,"Signifikan","Naik"
