Geneid,RVD1-2-24-1,RVD-Control-1,RVD1-2-24-1-2,RVD-Control-2,RVD1-2-24-1-3,RVD-Control-3
Rv0001,4033,5258,4401,5313,4401,5313
Rv0002,2682,5493,2949,5578,2947,5578
Rv0003,2527,2205,2751,2252,2751,2252
Rv0004,999,1867,1150,1995,1150,1995
Rv0005,5553,20015,5961,20555,5955,20539
Rv0006,6077,27457,6546,28454,6545,28436
Rv0007,2059,9649,2182,9991,2182,9985
Rvnt01,341,185,361,198,361,198
Rvnt02,403,284,488,302,488,302
Rv0008c,1113,1637,1236,1686,1235,1686
Rv0009,1335,6836,1507,7041,1500,7041
Rv0010c,1198,1757,1311,1843,1311,1843
Rv0011c,957,824,1006,853,1004,853
Rv0012,1598,3196,1771,3406,1771,3404
Rv0013,1007,2074,1115,2094,1114,2094
Rv0014c,3832,4109,4100,4206,4099,4206
Rv0015c,2713,11421,2858,11543,2858,11537
Rv0016c,3062,8554,3298,8612,3294,8608
Rv0017c,2473,1976,2693,2002,2691,2002
Rv0018c,3137,6806,3333,6760,3333,6760
Rv0019c,1163,5966,1255,6617,1255,6612
Rv0020c,5510,29670,5807,30709,5805,30693
Rvnt03,495,1179,590,1295,590,1295
Rv0021c,2156,2189,2427,2335,2427,2333
Rv0022c,1001,129,1090,134,1088,134
Rv0023,1613,1598,1760,1657,1760,1657
Rv0024,1696,1776,1781,1825,1781,1825
Rv0025,760,1238,786,1243,786,1243
Rv0026,3157,1746,3405,1776,3403,1776
Rv0027,599,293,617,301,617,301
Rv0028,665,657,746,684,746,682
Rv0029,2255,4942,2460,5061,2460,5061
Rv0030,838,1805,916,1857,914,1857
Rv0032,4997,1668,5327,1687,5327,1687
Rv0033,291,9,272,11,272,11
Rv0034,472,500,492,503,492,503
Rv0035,3273,1721,3490,1539,3490,1539
Rv0036c,1516,5579,1665,5740,1665,5738
Rv0037c,2508,5037,2741,5130,2739,5130
Rv0038,2235,8698,2340,8871,2340,8865
